Mutual Fund Name,Category,NAV,Date,1y Return (%),3y Return (%),Risk Level
HDFC Mid Cap Fund,Mid Cap,201.393,"Jun 15, 2026",6.66,21.05,Very High
Quant Small Cap Fund,Small Cap,272.2583,"Jun 15, 2026",8.35,20.66,Very High
ICICI Prudential Large Cap Fund,Large Cap,107.13,"Jun 15, 2026",-0.71,14.34,Very High
Nippon India Large Cap Fund,Large Cap,88.4085,"Jun 15, 2026",5.71,14.68,Very High
Nippon India Growth Mid Cap Fund,Mid Cap,4414.9466,"Jun 15, 2026",8.73,23.49,Very High
Nippon India Small Cap Fund,Small Cap,175.6136,"Jun 15, 2026",5.35,19.11,Very High
Motilal Oswal Midcap Fund,Mid Cap,93.393,"Jun 15, 2026",-5.86,18.83,Very High
UTI Nifty 50 Index Fund,Large Cap,164.6387,"Jun 15, 2026",-2.64,9.44,Very High
Tata Small Cap Fund,Small Cap,36.6157,"Jun 15, 2026",-7.1,12.83,Very High
Bandhan Small Cap Fund,Small Cap,48.614,"Jun 15, 2026",5.59,28.82,Very High
